NPP Category,OMB Category,Tax Expenditure Name,Year,Original Name,Corporate,Individual,Total for 1981 and 1982,Original OMB Category
"Social Security, Unemployment & Labor",Income security,Net exclusion of pension contributions and earnings: Employer plans,1980,,,19785,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor",Income security,Net exclusion of pension contributions and earnings: Self-Employed plans,1980,Net exclusion of pension contributions and earnings: Plans for self-employed and others,,1925,,"Education, training, employment, and social services"
Education,"Education, training, employment, and social services",Parental personal exemption for students age 19 or over,1980,,,1030,,Commerce and housing
Commerce,Commerce and Housing,"Reduced rates on the first $100,000 of corporate income:",1980,,7210,,,Energy
Energy & Environment,Energy,Residential energy credits: Conservation Incentives,1980,,,430,,Natural resources and environment
Energy & Environment,Energy,Residential energy credits: Supply Incentives,1980,,,55,,Natural resources and environment
Housing & Community,Commerce and Housing,Surtax exemption (through 1978),1980,,110,,,
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Targeted jobs credit,1980,,130,25,,Energy
Commerce,General purpose fiscal assistance,Tax credit for corporations receiving income from doing business in United States possessions,1980,,905,,,Energy
"Social Security, Unemployment & Labor",Income security,Tax credit for the elderly and disabled,1980,Tax credit for the elderly.,,130,,
Energy & Environment,Natural resources and environment,Tax incentives for preservation of historic structures,1980,,10,25,,Commerce and housing
"Social Security, Unemployment & Labor",Income security,Additional exemption for elderly,1981,,,,2250,Commerce and housing
"Social Security, Unemployment & Labor",Income security,Additional exemption for the blind,1981,,,,30,Income security
Energy & Environment,Energy,Alcohol fuel credit,1981,,,,5,Health
Energy & Environment,Energy,Alternative fuel production credit,1981,,,,25,
Energy & Environment,Energy,"Alternative, conservation and new technology credits: Conservation incentives",1981,,,,220,Energy
Energy & Environment,Energy,"Alternative, conservation and new technology credits: Supply incentives",1981,,,,180,"Education, training, employment, and social services"
Commerce,Commerce and Housing,Amortization of start-up costs (normal tax method),1981,,,,20,"General science, space, and technology"
Commerce,Commerce and Housing,"Capital gains (except agriculture, timber, iron ore and coal)",1981,"Capital gains (other than agriculture, timber, iron ore, and coal)",,,17965,Income security
Commerce,Agriculture,Capital gains treatment of certain income,1981,,,,425,Energy
Energy & Environment,Natural resources and environment,Capital gains treatment of certain timber income,1981,,,,585,Health
Energy & Environment,Natural resources and environment,Capital gains treatment of iron ore,1981,,,,20,Commerce and housing credit
Energy & Environment,Energy,Capital gains treatment of royalties on coal,1981,,,,100,Commerce and housing credit
Housing & Community,Commerce and Housing,Carryover basis of capital gains at death,1981,Carryover basis of capital gains at death,,,2070,Community and Regional Development
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Credit for child and dependent care expenses,1981,,,,935,Energy
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Credit for employment of AFDC recipients and public assistance recipients under work incentive programs,1981,,,,70,Income security
Science,"General science, space, and technology",Credit for increasing research activities,1981,,,,15,"Education, training, employment, and social services"
Government,General government,Credits and deductions for political contributions,1981,,,,100,Community and Regional Development
"Social Security, Unemployment & Labor",Income security,Deductibility of casualty losses,1981,,,,775,Natural resources and environment
Education,"Education, training, employment, and social services",Deductibility of charitable contributions (education),1981,,,,925,International affairs
Medicare & Health,Health,Deductibility of charitable contributions (health),1981,,,,1390,Income security
Housing & Community,"Education, training, employment, and social services","Deductibility of charitable contributions, other than education and health",1981,,,,8485,Health
Commerce,Commerce and Housing,Deductibility of interest on consumer credit,1981,,,,8675,Income security
Medicare & Health,Health,Deductibility of medical expenses,1981,,,,3615,Commerce and housing
Housing & Community,Commerce and Housing,Deductibility of mortgage interest on owner-occupied homes,1981,,,,20145,"Natural resources, environment, and energy"
Government,Commerce and Housing,Deductibility of nonbusiness State and local taxes other than on owner-occupied homes,1981,,,,19085,"General science, space, and technology"
Commerce,Agriculture,Deductibility of noncash patronage dividends and certain other items of cooperatives,1981,,,,525,"General science, space, and technology"
Housing & Community,Commerce and Housing,Deductibility of State and local property tax on owner-occupied homes,1981,Deductibility of property tax on owner-occupied homes,,,9125,Income security
Transportation,Transportation,Deduction for motor carrier operating rights,1981,,,,,Income security
Housing & Community,"Education, training, employment, and social services",Deductions for certain adoption expenses,1981,,,,10,Natural resources and environment
Housing & Community,Commerce and Housing,Deferral of capital gains on home sales,1981,,,,1160,Natural resources and environment
Commerce,International affairs,Deferral of income from controlled foreign corporations,1981,,,,480,Agriculture
Commerce,International affairs,Deferral of income of domestic international sales corporations (DISC),1981,,,,1595,Income security
Interest on Debt,Interest,Deferral of interest on US savings bonds,1981,Deferral of interest on savings bonds,,,-270,Commerce and housing
